crop,crop_hindi,season,msp_rs_per_quintal
Paddy (Common),धान,Kharif,2441
Paddy (Grade A),धान (ग्रेड A),Kharif,2461
Jowar (Hybrid),ज्वार,Kharif,4023
Jowar (Maldandi),ज्वार (मालदांडी),Kharif,4073
Bajra,बाजरा,Kharif,2900
Ragi,रागी,Kharif,5205
Maize,मक्का,Kharif,2410
Tur (Arhar),अरहर (तूर),Kharif,8450
Moong,मूँग,Kharif,8780
Urad,उड़द,Kharif,8200
Groundnut,मूँगफली,Kharif,7517
Sunflower Seed,सूरजमुखी,Kharif,8343
Soybean (Yellow),सोयाबीन,Kharif,5708
Sesamum (Til),तिल,Kharif,10346
Nigerseed,रामतिल,Kharif,10052
Cotton (Medium Staple),कपास,Kharif,8267
Cotton (Long Staple),कपास (लंबा रेशा),Kharif,8667
Wheat,गेहूँ,Rabi,2585
Barley,जौ,Rabi,2150
Gram (Chana),चना,Rabi,5875
Lentil (Masur),मसूर,Rabi,7000
Rapeseed & Mustard,सरसों,Rabi,6200
Safflower,कुसुम,Rabi,6540
Raw Jute (TD-3),जूट,Kharif,5925
Copra (Milling),खोपरा,Other,12027
