crop,crop_hindi,modal_rs_per_quintal,min,max,msp
Wheat,गेहूँ,2550,2550,2550,2585
Rice (Paddy),धान / चावल,2550,2366,2550,2441
Maize (Corn),मक्का,2057,1800,2450,2410
Jowar (Sorghum),ज्वार,3730,3730,3730,4023
Bajra (Pearl Millet),बाजरा,2405,2000,3385,2900
Barley,जौ,2320,2150,2560,2150
Onion,प्याज,6700,4500,6700,
Potato,आलू,3000,400,3000,
Tomato,टमाटर,2400,2400,2400,
Garlic,लहसुन,15000,15000,15000,
Ginger,अदरक,12000,7500,12000,
Chili (Mirch),मिर्च,12000,7500,12000,
Cotton,कपास,8749,7100,9637,8267
Sugarcane,गन्ना,350,350,350,355
Jute,जूट,15100,11300,15100,5335
Soybean,सोयाबीन,7198,6400,7385,5708
Mustard (Rapeseed),सरसों / राई,7275,6460,7790,6200
Groundnut,मूँगफली,7000,6500,7000,7517
Sunflower,सूरजमुखी,6977,3509,8249,8343
Sesame (Til),तिल,11750,9420,15950,10346
Gram (Chana),चना / छोला,5800,5299,7100,5875
Arhar (Tur/Pigeon Pea),अरहर / तुअर,5876,5300,8100,8450
Moong (Green Gram),मूंग,12000,7500,12000,8780
Urad (Black Gram),उड़द,7500,6000,7500,8200
Masur (Lentil),मसूर,6190,5400,8750,7000
Turmeric,हल्दी,14500,14500,14500,
Coriander (Dhaniya),धनिया,6250,2900,14700,
Cumin (Jeera),जीरा,7500,5390,18875,
Banana,केला,5800,5800,5800,
Castor,अरंडी,7500,5390,18875,6935
Brinjal,बैंगन,3080,3080,3080,
Cauliflower,फूलगोभी,1132,1132,1132,
Cabbage,पत्ता गोभी,4500,4500,4500,
Green Peas,हरी मटर,12000,7500,12000,
Okra (Ladyfinger),भिंडी,2500,1200,4500,
Cucumber,खीरा,1600,700,3000,
Carrot,गाजर,7000,7000,7000,
Radish,मूली,1200,500,2200,
Bottle Gourd,लौकी,3035,2180,3035,
Bitter Gourd,करेला,3035,2180,3035,
Pumpkin,कद्दू,3000,3000,3000,
Spinach,पालक,2000,500,3800,
Capsicum,शिमला मिर्च,5500,2000,9400,
Green Chilli,हरी मिर्च,12000,7500,12000,
Sweet Potato,शकरकंद,3000,400,3000,
Colocasia (Arbi),अरबी,2200,1200,3800,
Drumstick (Moringa),सहजन,6500,6500,6500,
Beetroot,चुकंदर,7000,7000,7000,
French Beans,फ्रेंच बीन्स,7500,6000,7500,
Mango,आम,6500,6500,6500,
Grapes,अंगूर,9500,4500,12500,
Pomegranate,अनार,14000,6000,22500,
Apple,सेब,13000,5500,24500,
Orange,संतरा,12000,5500,16000,
Guava,अमरूद,5500,3650,8000,
Papaya,पपीता,3150,2050,4500,
Watermelon,तरबूज,1200,600,2400,
Muskmelon,खरबूजा,1600,800,3000,
Pineapple,अनानास,4500,2500,7000,
Litchi,लीची,15200,6200,28000,
Sapota (Chiku),चीकू,4000,3150,5500,
Coconut,नारियल,4350,2750,6000,
Lemon,नींबू,6500,6000,6500,
Fenugreek (Methi),मेथी,5905,1300,7500,
Fennel (Saunf),सौंफ,12000,8000,18000,
Ajwain (Carom),अजवाइन,14000,9000,22000,
Black Pepper,काली मिर्च,55000,40000,75000,
Cardamom,इलायची,180000,120000,260000,
Clove,लौंग,95000,70000,130000,
Nutmeg (Jaiphal),जायफल,45000,30000,65000,
Tamarind,इमली,12500,7000,15000,
Dry Ginger (Sonth),सोंठ,12000,12000,12000,
Cowpea (Lobia),लोबिया,4800,2900,7200,
Horse Gram (Kulthi),कुलथी,5750,5270,7110,
Dry Peas (Matar),मटर (सूखी),7500,3005,22000,
Rajma (Kidney Bean),राजमा,9000,6000,13000,
Linseed (Alsi),अलसी,9200,8000,9951,
Niger Seed,रामतिल,7500,5390,18875,
Safflower (Kusum),कुसुम,5351,4500,5500,
Ragi (Finger Millet),रागी,4000,712,4000,
Foxtail Millet (Kangni),कंगनी,2400,2000,3385,
Kodo Millet,कोदो,2400,2000,3385,
Little Millet (Kutki),कुटकी,5000,5000,5000,
Sorghum Fodder,चारा ज्वार,3730,3730,3730,
Arecanut (Supari),सुपारी,39775,24824,50659,
Cashew Nut,काजू,9750,8525,14700,
Natural Rubber,रबर,25200,24900,25500,
Tea (Green Leaf),चाय,12000,7500,12000,
Coffee,कॉफी,21700,21500,21800,
Tobacco,तंबाकू,3200,1800,7470,
Isabgol (Psyllium),इसबगोल,11000,8500,12875,
Onion Seed,प्याज बीज,6700,4500,6700,
Ridge Gourd (Turai),तुरई / तोरी,3035,2180,3035,
Pointed Gourd (Parwal),परवल,3035,2180,3035,
Round Gourd (Tinda),टिंडा,3035,2180,3035,
Ash Gourd (Petha),पेठा / कुम्हड़ा,3035,2180,3035,
Elephant Yam (Suran),जिमीकंद / सूरन,4750,3300,8500,
Ivy Gourd (Tindora),कुंदरू / तिंदोरा,3035,2180,3035,
Sponge Gourd (Ghia Tori),घिया तोरी / नेनुआ,3035,2180,3035,
Cluster Beans (Guar Phali),ग्वार फली,7500,6000,7500,
Amaranthus (Chaulai),चौलाई,2750,1750,4350,
Tapioca (Cassava),कसावा / टेपियोका,3200,2500,4000,
Snake Gourd (Chichinda),चिचिंडा / पड़वल,3035,2180,3035,
Amla (Indian Gooseberry),आंवला,6000,6000,6000,
Jackfruit,कटहल,1200,1200,1200,
Custard Apple (Sitaphal),सीताफल / शरीफा,13000,5500,24500,
Peach (Aadoo),आड़ू,7000,2200,11000,
Pear (Nashpati),नाशपाती,8000,4500,12000,
Plum (Aloo Bukhara),आलू बुखारा,5500,3400,7000,
Fig (Anjeer),अंजीर,7500,5500,14000,
Jamun (Java Plum),जामुन,5600,3500,14500,
Mulberry (Shahtoot),शहतूत,3000,1500,6000,
Walnut (Akhrot),अखरोट,22000,12000,40000,
Almond (Badam),बादाम,95000,95000,95000,
Marigold (Genda Phool),गेंदा,29500,9500,50000,
Mentha (Pudina / Mint),पुदीना,9000,9000,9000,
Guar Seed (Cluster Bean Seed),ग्वार दाना,5200,3500,14850,5887
Ashwagandha (Withania),अश्वगंधा,16900,12900,16900,
Lemongrass (Cymbopogon),नींबू घास,1400,700,2500,
Poppy Seed (Khus Khus),खसखस / पोस्ता,7800,5390,19000,
Bay Leaf (Tej Patta),तेज पत्ता,2700,2700,2700,
Long Pepper (Pipali),पिपली,4500,4500,4500,
